full_name,age
"Douglas Contreras",9
"Jean Lopez",6
"Enzo Gregorio",5
"Michael Nelson",9
"Andrew Mckenzie PhD",5
"Ramona Asmundo",10
"Amber Jenkins",2
"Piermaria Savorgnan",9
"Kirsten Baker",4
"Jeffery Meyer",5
"Sig. Costanzo Norbiato",6
"Eraldo Omma",3
"Colleen Savage",8
"Elizabeth Vasquez",2
"Ricciotti Curiel",4
"Jessica Wyatt",1
"Bill Fitzgerald",1
"Marta Bottigliero",9
"Joseph Wong",6
"Joe Schneider",5
"Nedda Gabbana-Morrocco",3
"Julie Reyes",9
"Robert Berry",6
"Paloma Carnera",6
"Natalia Babbo",4
"Zaira Bruno",9
"Sig.ra Lucrezia Vismara",5
"Milena Finotto",0
"Silvia Tamburini",9
"Morena Ponti",3
"Martin Powers",8
"Mark Morris",0
"Gianpaolo Fabrizi",3
"Gregory Montoya",1
"Piero Scarponi-Leonardi",10
"Silvia Altera",10
"Joshua Mckinney",0
"Kristy Turner",2
"Kimberly Garcia",2
"Jesse Rodriguez",5
"Cheryl Coleman",3
"Tiffany Robinson DVM",6
"Raymond Torres",8
"Mark Hammond",7
"Gilberto Pedersoli",3
"Carla Young",0
"Samuel Adams",2
"Paula Wilson",0
"Kevin Fox",6
"Paola Valguarnera-Pizzamano",5
"Tatiana Borromini-Galilei",10
"Rosa Corradi",0
"Sergio Rogers",3
"Amber Hayes",9
"Vanessa Gentry",8
"Jessica Deleon",1
"Tammy Baldwin",8
"Giulio Mazzacurati",0
"Danielle Vargas",10
"Virginia Edwards",1
"Michael Joseph",0
"Catherine Brown",4
"Donatello Offredi",1
"Heather Cooper",4
"Mrs. Ellen Wood",10
"Ninetta Savorgnan-Gozzano",1
"Amleto Sabbatini",2
"Melissa Kelley",2
"Dott. Letizia Mazzocchi",10
"Calogero Scaduto",2
"Cecilia Druso",4
"Juan Murphy",6
"Andrea Ellison",3
"Gian Filzi",1
"Christina Robinson",1
"Donna Rizzo",6
"David Ruiz",2
"Sig.ra Marta Bianchi",5
"Laura Wells",0
"Dott. Fausto Bonomo",10
"Manuel Antonello",10
"Joshua Rogers",1
"Gioachino Borzomì-Fittipaldi",9
"Anita Norbiato",7
"Marco Leone-Padovano",2
"Devin Williams",3
"Vincent Flores",5
"Mia Chase",6
"Henry Strong",4
"Nicole Rodriguez",1
"Marcello Gussoni",5
"Spencer Chandler",4
"Karla Davis",5
"Patrick Sullivan",0
"Tyler Kim",7
"Monica Pratesi",2
"Michael Bell",7
"Caitlin Lee",3
"Mia Mccarthy",8
"Nicoletta Giannuzzi",6
"Gioacchino Civaschi-Gravina",8
"Evangelista Dallara-Bonatti",3
"Sig.ra Stefani Dovara",7
"Puccio Cavalcanti-Lercari",1
"Patricia Perez",2
"Jason Johnson",1
"Alessio Scandone",5
"Stephen Brown",5
"Kathryn Mason",10
"Crystal Rubio",6
"Troy Martin",10
"Pina Colletti",10
"Joshua Baker",1
"Aurora Cherubini",3
"Jennifer Berg",8
"Virginia Anichini",3
"Romeo Casini-Cutuli",6
"John Nguyen",6
"Christopher Carlson",2
"Ninetta Favata",10
"Sig. Puccio Comencini",5
"Edoardo Papafava",1
"Umberto Rosiello-Camilleri",1
"Christopher Benton",9
"James Little",0
"Mr. Steven Callahan",1
"Patrizio Muti",5
"Dott. Giancarlo Matteotti",8
"Fernanda Borzomì",0
"Joseph Elliott",1
"Steven Webster",7
"Allen Barnett",1
"Dott. Lucrezia Valmarana",2
"Joel Wu",5
"Emily Sellers",10
"Adam Smith",0
"Gary Sandoval",4
"Nathan Miller",9
"Ralph Haynes",10
"Jeremy Maddox",10
"Susanna Siffredi",3
"Lisa Weber",5
"Trevor Oconnor",2
"Liana Vento",6
"Amalia Scarpetta-Cesaroni",6
"Larry Velasquez",5
"Chelsea Rice",2
"Giacobbe Montalti",4
"William Buck",9
"James Martin",2
"Sophia Sanguineti-Zola",9
"Kyle Anderson",0
"Raffaele Stefanelli",9
"Biagio Mannoia",5
"Jennifer Thomas",8
"Antonio Blankenship",1
"Joanne Carlson",7
"Agnolo Passalacqua",3
"Taylor Wilson",7
"Richard King",8
"Fortunata Gabrieli",3
"Arnaldo Zeffirelli",5
"Frank Stout",6
"Renee Myers",9
"Molly Scott",7
"Wesley Pitts",3
"Stefano Notarbartolo",3
"Lucio Travia-Soffici",9
"Ryan Tyler",9
"Mckenzie Ferguson",1
"Angela Arnold",4
"Sig.ra Eliana Borromini",5
"Dwayne Perkins",8
"Sig.ra Allegra Cociarelli",5
"Ippazio Tartaglia",5
"Amber Yang",3
"Michelle West",6
"Susanna Bulzoni-Greggio",10
"Marissa Chechi",5
"Sig.ra Maria Varano",10
"Steve Harris",1
"Pasqual Calgari",3
"Eric Jones",4
"Katherine White",1
"Aaron Wilson MD",5
"Rosario Nitti",10
"Robert Campbell",7
"Romina Lovato",9
"Duane Walker",4
"Holly Higgins",6
"Angela Hamilton",0
"Amanda Clark",5
"Giorgia Rapisardi",4
"Debra Fuller",2
"Ivo Zanichelli",8
"Sig. Aldo Tirabassi",8
"Carly Cohen",1
"Gianluigi Frescobaldi",5
"Rhonda Eaton",4
"Martina Mancini",3
"Paloma Interminelli",1
"Chloe Russo",2
"Concetta Gagliardi",4
"Coluccio Chinnici-Tagliafierro",10
"Michelle Randall",9
"Roberta Pratesi",10
"Ilaria Mercati",10
"Angelo Goldoni",8
"Sig. Vittorio Vecoli",6
"Christy Rodriguez",9
"Fabia Spinola-Zecchini",0
"Timothy Strong",8
"Romeo Rizzo",4
"Elizabeth Washington",0
"Beppe Salvo",1
"Isabella Barracco",10
"Beppe Amato",5
"Sara Powell",1
"Donato Bulzoni",5
"Riccardo Caboto-Cendron",10
"Sarah Smith",6
"Robert Stone",10
"Kim Odonnell",2
"Anthony Farrell",9
"Joseph Berry",2
"Brandon Morris",9
"Laura Evans",3
"Umberto Garzoni",0
"Nicholas Lee",2
"Tara Allen",10
"Lawrence Hopkins",5
"Sig. Nanni Guglielmi",6
"Michela Onio-Mazzeo",5
"Adelasia Rocca",1
"Gionata Bragaglia-Tanzini",8
"Ashley Huerta",2
"Elvira Montanari-Tartaglia",5
"Bruno Fischetti-Stucchi",8
"Angel Lewis",4
"Matilda Tomasetti-Papetti",5
"Tiffany Fitzpatrick",1
"Michael Reynolds",1
"Raffaele Bernetti-Bernardini",1
"Jonathan Anderson",5
"Timothy Burton",8
"William Miller",0
"Shawn Rogers",9
"Keith Orr",6
"Serena Borromini",9
"Angel Butler",4
"Anthony Erickson",5
"Fredo Ostinelli",4
"Filippa Cainero",3
"Iolanda Mazzeo",6
"Virginia Giusti",6
"Terry Cook",2
"Peter Johnston",10
"Camilla Barese",9
"David Collier",2
"Heather Delgado",9
"Rosalia Montanelli",8
"Mario Pontecorvo",7
"Silvio Boezio",10
"Jason Hernandez",7
"Fiorenzo Villarosa",10
"John Huang",8
"Adamo Battaglia",10
"Leah Ferguson",9
"Filippo Franscini",8
"Vincent Stewart",4
"Sig. Maurilio Tasso",3
"Nathan Dodson",9
"Michelle Stone",4
"Alberto Gianvecchio-Battaglia",3
"Natasha Ortiz",0
"Gianni Tasso",7
"Michael Powell",3
"Joseph Murray",0
"Dott. Raffaellino Martucci",6
"Jennifer Carpenter",1
"Vittorio Sibilia-Castellitto",5
"Jill Kelly",4
"Ciro Tonisto",0
"Dott. Alessandra Moccia",8
"Tullio Dandolo",9
"Michelle Jordan",8
"Timothy Swanson",5
"Dott. Mirko Zaccardo",3
"Michelle Jimenez",9
"Samuel Mitchell",3
"Patricia Herrera",8
"Gioffre Ossani-Veltroni",9
"Tiziana Draghi",3
"Leone Bergoglio",9
"Melissa Perez",4
"Ornella Pignatti",0
"Sean Pruitt",8
"Carolina Zoppetti",2
"Sig. Alessandro Castioni",8
"Giacobbe Lerner",5
"Ninetta Casadei",0
"Lucia Ariosto",1
"Azeglio Ammaniti-Filippini",10
"Gianmarco Canil",1
"Destiny Lopez",0
"Santino Gaito-Stradivari",2
"Carmen Savage",9
"Leslie Fuentes",4
"Paulina Caboto",2
"Romeo Fischetti-Fogazzaro",1
"Kathryn Richmond MD",2
"Mary Wall",10
"Joseph Baker",10
"Clelia Corcos",10
"Sig. Pasquale Fantoni",7
"Christina Sloan",1
"Robert Collins",5
"Greca Monicelli",3
"Paolo Falier",3
"Cecilia Caboto",0
"Daniele Spadafora",3
"Antonia Mascagni",10
"Joshua Garcia",0
"Travis Miller",4
"Michael Hayden",9
"Joseph Smith",7
"Sig.ra Paola Bettoni",7
"Kelly Singleton",3
"Gustavo Gentileschi",2
"David Richards",1
"Eugenia Tanzini",7
"Jack Hanson",6
"Tyler Tate",3
"Mauro Gianinazzi",5
"Romana Comolli",3
"Antonietta Marrone",4
"Gastone Aulenti",6
"Sara Wright",3
"Michael Rodriguez",0
"Tammy Mcneil",8
"Edward Alvarado",3
"Sig.ra Margherita Brambilla",2
"Dott. Ranieri Panzera",9
"Romolo Spinola",1
"Deborah Anderson",5
"Vincenzo Ajello",0
"Phillip Scott",6
"Niccolò Mercalli",7
"Scott Hernandez",2
"Meredith Robertson",6
"Gioacchino Conte",8
"Melissa Lopez",6
"Patrick Patrick",8
"Agnolo Iadanza-Tasso",10
"Marissa Bragaglia",3
"Melina Tosto",9
"Daniel Hawkins",6
"Olga Pizziol",5
"Dott. Antonietta Montessori",8
"Rosa Grimani",0
"Tiffany Lewis",1
"Emily Mcgee",7
"Lisa Marazzi",5
"Graziano Civaschi",1
"David Hunter",9
"Jamie Hamilton",0
"Miss Rebecca Smith DVM",0
"Jorge Cohen",0
"Delfino Ortolani",5
"Sig. Alfredo Ostinelli",4
"Amanda Surian",5
"Daniel Chapman",9
"Viridiana Cutrufo-Trussardi",8
"Christopher Adams",7
"Julia Jordan",7
"Santino Pirelli-Antonioni",2
"Romina Juvara",0
"Amy Porter",7
"Benedetto Sommaruga",1
"Mr. Michael Burke",0
"Daniel Franklin",8
"Raffaella Botticelli",7
"Orazio Garrone-Tomaselli",8
"April Gregory",0
"Dott. Nicola Antonioni",6
"Holly Perez",1
"Dott. Ornella Nolcini",4
"Melissa Tasca-Impastato",8
"Baldassare Zaccardo",4
"Milo Nicolucci",1
"Antonietta Galvani",2
"Sig.ra Giada Villarosa",6
"Tracy Maynard",9
"Dott. Jolanda Prati",1
"Danielle Castillo",10
"Cipriano Santorio",9
"John Campbell",7
"Tina Leopardi",8
"Liberto Sonnino",7
"Santino Ossola",2
"Achille Troisi",9
"Raffaella Monti",3
"Edoardo Tacchini",7
"Rodolfo Turci",2
"Luisa Carnera",10
"Zaira Esposito-Castiglione",9
"Jessica Branch",7
"Rembrandt Lussu",1
"Dennis Cox",6
"Dolores Lucarelli-Giammusso",6
"Alyssa Little",1
"Dott. Patrizia Ponti",6
"Dott. Luciana Moresi",4
"Anthony Johnson",7
"Brenda Morrison",4
"Gianfranco Malpighi-Avogadro",10
"Gilberto Foscari",9
"Teresa Griffith",5
"Niccolò Giunti",9
"Megan Davis",10
"Mary Shelton",9
"Valerie Stone",5
"Jason Nelson",0
"Susanna Barozzi",0
"Alderano Pertile",6
"Mackenzie Wilson",7
"Cirillo Turrini-Tebaldi",9
"Teresa Wiggins",5
"Piersanti Celentano",2
"Jennifer Tucker",10
"Mr. Larry Wallace Jr.",4
"Vickie Roberts",8
"Chiara Medici-Persico",6
"Ninetta Lussu",4
"Susan Stewart",2
"Clinton Buck",1
"Loretta Brancaccio",1
"Ryan Combs",1
"Craig Sexton",3
"Nathan Heath",6
"Cecilia Murialdo",7
"Candace Scott",9
"George Peterson",4
"Antonietta Conti",5
"Valerie Campbell",7
"Jenna Keller",10
"Alexis Molina",4
"Dott. Benito Beccaria",10
"Ugolino Callegari",4
"Ashley Brown",7
"Eric Larsen",0
"Berenice Corbo-Salata",3
"Sig. Fiorino Broschi",10
"Sig. Sergius Zamorani",4
"Angela Wall",4
"Anna Simmons",1
"Regina Macdonald",4
"Scott Hines",7
"Charles Ferguson",8
"Alyssa Jordan",9
"Christopher Nelson",0
"Antonina Perozzo-Bevilacqua",5
"Monica Ficino-Palazzo",4
"Sig.ra Eliana Chinnici",8
"Bettina Canova",1
"Gregory Baker",1
"Melania Campanella",4
"Dott. Agostino Parisi",2
"Becky Ross",1
"Ugolino Anastasi",2
"Orazio Ughi-Sagese",5
"Dott. Gabriele Sagredo",5
"Kelly Rollins",2
"Luigina Bocelli",1
"Robin Tucker",4
"Charles George",1
"Simone Tozzi",5
"Cesar Buchanan",3
"Trevor Solis",10
"Monica Praga",0
"Cynthia Decker",4
"Raffaella Bova-Buscetta",2
"Dustin Pace",4
"Donatella Foconi",0
"Ferdinando Redi",6
"Nanni Verdone",0
"Dott. Dina Pinamonte",3
"Etta Trevisan",3
"Gregory Payne",10
"Luca Finotto",5
"Ivan Basadonna",7
"Enzio Gelli",7
"Benito Lancisi-Benigni",9
"Benito Borsiere",9
"Ippazio Broggini-Panzera",5
"Jason Hill",6
"Kristi Adkins",10
"Luca Alonzi-Morlacchi",3
"Fedele Quasimodo",9
"Tracy Sullivan",8
"Daniel Smith",7
"Steven Howard",10
"Elisa Giorgetti",9
"Tiffany Jensen",4
"Adam Owen",0
"Antonia Zola",7
"Marcantonio Gatto",1
"Craig Jacobson",5
"Alfio Borsellino",3
"Caitlyn Boyd",10
"Flavio Orlando",6
"Olga Carli",6
"Nicole Frank",5
"Tyler Davis",4
"Mauro Iacobucci",0
"Anita Cilea-Scarponi",1
"Terry Newman",2
"Jeffrey Harris",7
"Zachary Bennett",0
"William Russell",2
"Kevin Gonzalez",4
"Nina Gulotta",5
"Pierpaolo Sforza",7
"Renata Palumbo",2
"Sig.ra Lolita Montalcini",7
"Mario Smirnoff",0
"Dott. Benedetto Bossi",4
"Katie Mccarty",3
"Jennifer Cortez",2
"Shane Thompson",3
"Mario Pontecorvo-Tron",4
"Fiamma Vittadello",3
"Matthew Maldonado",1
"Isabella Munari-Vecoli",7
"Emily Morris",10
"Antonio Sinisi-Calvo",7
"Toni Beck",4
"Adelmo Stein",7
"Oscar Stevenson III",1
"Ninetta Catalano",2
"Kimberly Gallagher",10
"Dustin Horne",2
"Jessica Duarte",4
"Michael Barrett MD",2
"Nancy George",1
"Stefania Manzoni-Zamorani",3
"Loredana Nievo-Ricci",8
"Bruce Johnson",0
"Sig. Dario Stucchi",10
"Sig.ra Lara Volta",4
"Jonathon Romero",7
"Brandon Russo",0
"Loredana Antonelli-Simeoni",7
"Ashley Martinez",4
"Dott. Antonello Monte",4
"Patty Doyle",8
"Christopher Ramirez",0
"Megan Schneider",0
"Camillo Garrone-Moretti",8
"Loretta Gianinazzi-Modigliani",9
"Jessica Wilson",5
"Rosa Zamengo",10
"Gianpietro Pezzali",2
"Heather Walsh",9
"Mary Brooks",9
"Agostino Aporti-Zampa",7
"Diamond Obrien",10
"Nicholas Oliver",8
"Alicia Fuller",9
"Giuliana Lanfranchi-Disdero",8
"Ludovica Rismondo-Conti",5
"Carla Serao",4
"Lisa Beccheria-Boaga",2
"Mercedes Pistoletto",9
"Carlo Sonnino",10
"Azeglio Scarpa",9
"Raffaele Cianciolo-Rubbia",5
"Dina Medici",0
"Galasso Mastandrea",1
"Eric Fisher",9
"Piero Calvo",10
"Autumn Wilson",7
"Reginald Simmons",6
"Dana Arnold",7
"Chelsea Herring",8
"Arsenio Gabbana",0
"Dott. Carla Pometta",3
"Kathy Mahoney",1
"Emily Mendez",3
"Irma Ferrabosco",9
"Mary Smith",7
"Olga Blasi",0
"Christopher Hernandez",5
"Debra Adams",7
"Sig. Antonino Squarcione",5
"Delfino Solimena-Ravaglioli",5
"Emily Johnson",2
"Erik Cruz",4
"Vito Versace-Bataglia",7
"Pierangelo Garibaldi",7
"Nina Satta",1
"Alderano Simeoni",10
"Barry Lee",1
"Heather Lewis",5
"Dott. Chiara Sgalambro",9
"Clelia Luria",6
"Jennifer Lee DDS",0
"Azeglio Cammarata",9
"Jacob Jones",7
"Corrado Vanvitelli-Acerbi",4
"Angela Sullivan",6
"Parker Hudson",2
"Sig. Stefano Varano",7
"Stacie Gibbs",2
"Sig.ra Rosalia Rocca",9
"Victoria Medici",3
"Scott Chung",10
"Giampaolo Procacci-Guinizzelli",2
"Giada Offredi",1
"Michael Smith",6
"Ninetta Salvini",3
"Lynn Cabrera",8
"Sig.ra Lucia Antelami",0
"Daniel Skinner",4
"Sean Jackson Jr.",6
"Robert Schmidt",7
"Giuseppina Pozzecco",6
"Nicolò Tarantini",2
"Cynthia Thomas",4
"James Sanchez",10
"Camilla Ottino",0
"Edoardo Franscini",7
"Tonya Randall",4
"Donald Smith",0
"Alison Norris",6
"Annette Weeks",5
"Amedeo Barberini-Tuzzolino",5
"Matthew Gibson",7
"Sig.ra Aurora Stradivari",8
"Curtis Wong",4
"Giulietta Bonomo",10
"Jacob Jackson",8
"Dott. Orazio Pelli",10
"Lucrezia Rocca",7
"Zaira Inzaghi",0
"Antonio Cammarata",4
"Sara Stevens",2
"Sig.ra Virginia Greco",2
"Annamaria Bonatti",9
"Franco Caruso",9
"Antonietta Ponti",1
"Sonia Lombardo",1
"Fulvio Modiano",1
"Kelly Boyd",4
"Pierangelo Piccinni",3
"Stefania Morricone",4
"Fredo Taliercio",10
"John Romero",4
"Simonetta Castiglione",2
"Sarah Bean",2
"Thomas Perez",8
"Veronica Vespucci",2
"Mark King",6
"Raffaellino Murialdo",10
"Lina Gentili",5
"Nicola Maffei-Conti",1
"Zachary Reed",5
"Kathy Kelly",3
"Samantha Peters",2
"Pietro Argentero",3
"Filippa Stein",2
"Fabrizia Sanguineti-Tron",3
"Mark Perez",8
"Jonathan Tucker",6
"Mary Jackson",2
"Giovanna Brichese-Manunta",2
"Jason Walton",6
"Tullio Toselli",3
"Ansaldo Giacometti",6
"Dott. Susanna Desio",5
"Blake Martin",8
"Rosalia Gagliano",8
"Nicolò Foconi",1
"Andrew Mora",10
"Joseph Smith",8
"Lolita Fracci",9
"Giovanni Costalonga-Ungaretti",2
"Collin Ward",9
"Dott. Adriano Cardano",1
"Bernard Collins",5
"Emilio Piccio",1
"Randy Reyes",4
"Lisa Lowe",8
"Karen Hall",2
"Alicia Macdonald",6
"Dean Johnson",2
"Dakota Thompson",10
"Teresa Hancock",4
"Paola Luzi-Polani",8
"Ciro Opizzi",5
"Achille Scialpi",7
"Joshua Hansen",10
"Susanna Ajello",6
"Maurice Smith",1
"Giada Gabba",2
"Sig.ra Chiara Mazzanti",2
"Amalia Farinelli",1
"Virgilio Gottardi",5
"Mark King",7
"Gianna Rizzoli",8
"Brenda Soto",3
"Martina Endrizzi-Goldstein",7
"Gemma Dossetti",3
"Dott. Francesco Murialdo",2
"Piermaria Palombi",0
"Enzio Gori-Ramazzotti",7
"Candace French",3
"Kyle Callahan",4
"Giancarlo Mezzetta-Nosiglia",1
"Elvira Ceschi",1
"Amy Johnson",0
"Travis Velazquez",6
"Sig.ra Fiamma Telesio",2
"Lindsay Brown",0
"Lori Smith",8
"Paola Pulci-Sibilia",4
"Ilaria Taccola",4
"Chelsea Sutton",8
"Vanessa Collodi-Pisano",2
"Shelley Nguyen",7
"Sig. Uberto Ferrucci",2
"Eleanora Zanichelli",0
"Fiamma Toselli-Nicoletti",7
"Tina Hale",3
"Rossana Tosto",7
"Billy Brown",5
"Marissa Cipolla",8
"Vanessa Johnston",1
"Dina Guarato",1
"William Wilson",2
"Dott. Michele Visconti",6
"Stacey Thomas",10
"Cheryl Cameron",1
"Maria Woodard DVM",1
"Massimo Tarantino-Scalfaro",3
"Kyle Taylor",0
"Joseph Smith",2
"Charles White",10
"Fiamma Bocelli-Carosone",0
"Amy Martin",10
"Barbara Gozzi",3
"Ivo Capuana",5
"Hayden Andersen",7
"Mariano Guarato",3
"Roman Trevisan",3
"Alina Cainero",3
"Johnny Brown",8
"Dott. Giulietta Savorgnan",1
"Deborah Brock",2
"Ray Keller",7
"Courtney Villarreal",3
"Marcus Alvarez",0
"Christopher Dillon",10
"Dott. Imelda Boaga",8
"Morena Prada-Baresi",0
"Agostino Bonanno",1
"Tatiana Govoni",0
"Melissa Terry",4
"Emilio Iadanza",9
"Kimberly Miles",8
"Umberto Ferrucci",4
"Jasmin Chavez",6
"Panfilo Mondaini-Spinola",4
"Adamo Odescalchi",0
"Priscilla Speri",7
"Eric Lee",2
"Emma Verga",5
"Dina Filangieri-Liguori",1
"Nedda Malipiero",6
"Ethan Cooper",0
"Stacy Stevens",0
"Nicola Catenazzi",4
"Kimberly Thomas",9
"Daniel Wilson",1
"Raffaello Tomasetti",8
"Carlos Delgado",2
"Roberto Lynch",5
"Loredana Ligorio",5
"Liliana Marini",10
"Evangelista Civaschi",8
"Morgan Peterson",6
"Patrizia Morosini-Deledda",5
"Antonina Barcella",10
"Germana Platini",9
"Amalia Zichichi",5
"Elvira Riccati",8
"Andrew Jenkins",6
"Vittorio Bruscantini",4
"Ugo Barsanti",3
"Sig. Piergiuseppe Rensi",4
"Logan Flores",1
"Gloria Galvani",3
"Arturo Carfagna",5
"Ferdinando Villarosa",7
"Silvia Opizzi",1
"Dott. Flavia Ajello",3
"George Lopez",6
"Antonina Bruno",2
"Richard Chen",7
"Veronica Phillips",5
"Rosario Impastato",3
"Bryan Johnston",10
"Brian Lopez",9
"Gregory Juarez",3
"Julie Rodriguez",9
"Sig. Valerio Saraceno",5
"Dott. Sylvia Vianello",0
"Sig.ra Imelda Scamarcio",5
"Daniele Viola",0
"Dylan Davis",2
"Anna Rivera",10
"Lara Odescalchi",8
"Alan Cabrera",1
"Dott. Milena Cuzzocrea",5
"Jessica Robinson",0
"Ferdinando Querini",6
"Marco Ferraris",5
"Karen Dixon",5
"Mr. Lance Walker",7
"Diana Pozzecco",8
"Justin Vaughn",0
"Eddie Mcdowell",0
"Livia Sansoni",1
"Francesca Spadafora",5
"Jolanda Gramsci",6
"Joshua Mcdonald",2
"Brian Jackson",9
"Carla Franzese",2
"Alberico Rienzo",5
"Angel Barber",0
"Nicole Martin",7
"Cameron Duran",9
"Rosa Jilani",10
"Maria Bacosi-Buonauro",9
"Dott. Girolamo Troisi",3
"Adam Freeman",10
"Nadia Ginese",5
"Nicole Lester",8
"Julie Johnson",10
"Bianca Pepe",2
"Lisa Miller",9
"Wayne Kim",5
"Letizia Pincherle-Lupo",8
"Valerio Roccabonella",6
"Stephanie Foley",1
"Benvenuto Zamengo",3
"Faith Walton",8
"Mary Smith",1
"Imelda Branciforte",9
"Sig.ra Melina Zola",3
"Amanda Norris",0
"Dott. Mirko Valentino",5
"Cynthia Klein",1
"Caitlin Blair",3
"Susan Waller",4
"Tonia Frescobaldi",8
"Carlo Petrucci",8
"Costantino Puccini",8
"Peter Brown",2
"Alessio Mazzini",7
"Sig.ra Claudia Guidone",1
"Donatella Sforza",6
"Martin Ryan",7
"Enrico Roncalli",10
"Troy Horton",10
"Fabio Finzi",9
"Jason Blankenship",8
"Kimberly Smith",5
"Antonietta Fittipaldi",1
"Gabriella Castellitto",6
"Greco Bassi",4
"Cody Smith",8
"Marcella Interminelli",10
"Heather Blackwell",2
"Marvin Johnson",10
"Enrico Maccanelli",6
"Richard Lawrence",10
"Dominique Gonzales",7
"John Neal",5
"Fiamma Zanichelli",7
"Francesca Tomasetti",8
"Roger Sanchez",6
"Chelsea Johnson",7
"Catherine Little",0
"Amy Rodriguez",10
"Dott. Massimiliano Ajello",7
"Dott. Paola Boccaccio",4
"Kelly Pierce",0
"Julie Garcia",5
"Karen Porter",0
"Gabriella Speri",5
"Dott. Rosina Faugno",5
"Giampiero Zoppetti",7
"Matthew Turner",0
"Lilla Strangio-Aloisio",1
"Gemma Serraglio",6
"Ramona Pacetti",2
"Camilla Rosiello",5
"Michael Mathis",0
"Geronimo Gianetti-Anguillara",10
"Camillo Montessori",5
"Deborah Davis",9
"Sandra Chapman",7
"Nino Zecchini",3
"Manuel Sollima",10
"Anthony Snow",7
"Karen Flores",6
"Michael Frey",9
"Antonia Trevisan",8
"Todd Hill",9
"Berenice Botticelli",8
"Antonia Bresciani",0
"John Schneider",2
"Maria Orsini-Alonzi",9
"Puccio Moneta-Greggio",0
"Nancy Miller MD",10
"Sig.ra Donatella Biagiotti",5
"Sig. Francesco Lombroso",4
"Danielle Roberts",4
"Dr. Kimberly Martin",8
"Alex Dickson",9
"Sandro Zabarella",6
"Michael Bauer",3
"Stefani Zamengo",6
"Ricciotti Priuli",7
"David Davis",7
"Christina Johnson",7
"Giuliana Ritacca-Cicilia",0
"Colleen Rosales",1
"Peter Humphrey",5
"Tatiana Cagnotto-Cabrini",6
"Maria Parks",8
"Claudio Falcone",2
"Anthony Nguyen",9
"John Caldwell",1
"Lando Berlusconi",10
"Maria Agnesi",10
"Robin Davis",0
"Kevin Garcia",8
"Amanda Tapia",3
"Cheryl Mccoy",1
"Cristina Luxardo",4
"Dott. Pellegrino Martucci",10
"Ivan Detti",9
"Stephanie Solomon",6
"Pierpaolo Scandone",0
"Sharon Hansen",3
"Piermaria Germano",6
"Edward Adams",8
"Francesca Franscini",10
"Jason Mitchell",2
"Gabriele Abatantuono",3
"Sig. Girolamo Randazzo",6
"Franco Navarria",7
"Piersanti Sonnino",9
"Donato Avogadro",9
"Matthew Stevens",8
"Annibale Babato",5
"Gianni Trincavelli",9
"Frank Cunningham",7
"Jasmine Briggs",3
"Cory Fox",7
"Mrs. Angela Lawson MD",3
"Samantha Carr",6
"Nicole Sanchez",7
"Alphons Bonatti",4
"James Carter",6
"Michael Warner",5
"Jennifer Hamilton",6
"Marissa Gaines",7
"Bryan Davidson",3
"Sandra Bulzoni",8
"Kathy Nguyen",8
"Ashley Casey",5
"Griselda Mogherini-Dossetti",0
"Chiara Brancaccio",1
"Kevin West",7
"Timothy Petty",9
"Ugolino Anguillara-Barberini",5
"Cathy Johnston",9
"Terry Adams",2
"Dominique Stevens",5
"Tina Moccia",5
"Gaetano Rizzoli",8
"Jonathon Costa",4
"Laura Miller",7
"David Schwartz",6
"Raffaele Tafuri",9
"Imelda Maggioli",9
"Michael Scott",10
"Maura Buscetta",5
"Rebecca Jones",3
"Gelsomina Moretti",7
"Anita Dandolo",0
"John Evans",0
"Cirillo Bixio",7
"Flora Telesio",0
"Luigi Morpurgo",1
"Gregory Lee",1
"Giacobbe Fittipaldi",2
"Pierina Verdi",0
"James Woods",2
"Flora Boitani",5
"Dott. Camilla Boccherini",9
"Olga Polesel",5
"Alessio Zaccagnini",1
"Arnulfo Nugnes",3
"Charles Gibson",5
"Vicki Newman",3
"Nadia Adinolfi",7
"Carmen Robinson",8
"Gilbert Wilson",7
"Sig.ra Amanda Falcone",9
"Jolanda Viola",3
"Danielle Key",4
"Paul Stephenson",9
"Robin Watson",10
"Amy Paul",1
"Anthony Murphy",2
"Raffaella Foa",3
"Caterina Bazzi-Liverotti",4
"Jeremy Parker",3
"Fabrizia Bertoli",7
"Baccio Montesano",7
"Juan Brown",3
"Lisa Brown",3
"Joshua Norman",8
"Crystal Novak",10
"Monique Ward",10
"Griselda Trobbiani",1
"Hannah Smith",7
"Tiziano Renier",6
"Patricia Hess",2
"Chad Johnson",6
"Mrs. Robin Ryan",2
"Courtney Thompson",1
"Ronaldo Sollima",6
"Christine Hoffman",8
"Valentina Sforza",8
"Lamberto Einaudi",0
"Andrea Cole",4
"Livia Persico",5
"Sig.ra Gemma Giradello",10
"Henry Jimenez",6
"Romeo Modiano",7
"Salvi Pasqua",3
"Alfio Malpighi",5
"Leon Diaz",1
"Katherine Page",8
"Sig.ra Rossana Zacchia",8
"Michelle Ramirez",7
"Heather Anderson",1
"Nicolò Leonetti",0
"Gino Trotta",4
"Jeff Rodriguez",4
"Arnaldo Zanzi-Zoppetto",7
"Michelle Jackson",9
"Enzio Iannotti",3
"Teresa Ricciardi",8
"Lazzaro Cugia-Federico",7
